# from https://www.aanda.org/articles/aa/full_html/2011/07/aa16208-10/aa16208-10.html
# Note: deleted the WASP survey photometry, only kept follow-up
2455301.70428 0.986985  0.002798 EulerCAM     
2455301.70517 0.987784  0.002798 EulerCAM     
2455301.70605 0.983686  0.002798 EulerCAM     
2455301.70694 0.982786  0.002798 EulerCAM     
2455301.70782 0.985883  0.002798 EulerCAM     
2455301.70870 0.987781  0.002798 EulerCAM     
2455301.70957 0.990079  0.002798 EulerCAM     
2455301.71046 0.986481  0.002798 EulerCAM     
2455301.71135 0.987479  0.002798 EulerCAM     
2455301.71223 0.985780  0.002798 EulerCAM     
2455301.71311 0.993274  0.002798 EulerCAM     
2455301.71401 0.989975  0.002798 EulerCAM     
2455301.71489 0.992174  0.002798 EulerCAM     
2455301.71577 0.995370  0.002798 EulerCAM     
2455301.71667 0.993572  0.002798 EulerCAM     
2455301.71755 0.992871  0.002798 EulerCAM     
2455301.71845 0.990073  0.002798 EulerCAM     
2455301.71933 0.994069  0.002798 EulerCAM     
2455301.72022 0.992369  0.002798 EulerCAM     
2455301.72127 0.997965  0.002798 EulerCAM     
2455301.72216 0.996865  0.002798 EulerCAM     
2455301.72304 0.993767  0.002798 EulerCAM     
2455301.72393 0.993266  0.002798 EulerCAM     
2455301.72482 0.994465  0.002798 EulerCAM     
2455301.72570 0.996662  0.002798 EulerCAM     
2455301.72659 0.997162  0.002798 EulerCAM     
2455301.72748 0.999859  0.002798 EulerCAM     
2455301.72836 0.999559  0.002798 EulerCAM     
2455301.72926 0.995061  0.002798 EulerCAM     
2455301.73014 0.999457  0.002798 EulerCAM     
2455301.73103 0.996059  0.002798 EulerCAM     
2455301.73192 0.997258  0.002798 EulerCAM     
2455301.73280 1.002253  0.002798 EulerCAM     
2455301.73369 0.997856  0.002798 EulerCAM     
2455301.73458 1.000654  0.002898 EulerCAM     
2455301.73547 1.000354  0.002898 EulerCAM     
2455301.73635 0.998953  0.002898 EulerCAM     
2455301.73724 1.003050  0.002898 EulerCAM     
2455301.73813 1.003549  0.002898 EulerCAM     
