# From https://iopscience.iop.org/article/10.3847/1538-3881/aae1f5
#Title: Radial velocities from the N2K Project: 6 new cold gas giant planets 
#       orbiting HD-55696, HD-98736, HD-148164, HD-203473, and HD-211810 
#Authors: Ment K., Fischer D.A., Bakos G., Howard A.W., Isaacson H. 
#Table: Radial velocities for N2K stars
#================================================================================
#Byte-by-byte Description of file: ajaae1f5t2_mrt.txt
#--------------------------------------------------------------------------------
#   Bytes Format Units   Label  Explanations
#--------------------------------------------------------------------------------
#   1- 10 A10    --      Name   Name of the star
#  12- 21 F10.4  d       JD     Julian Date, JD-2440000
#  23- 40 F18.11 m/s     RVel   Radial Velocity
#  42- 52 F11.7  m/s   e_RVel   Radial Velocity Error
#  54- 59 F6.4   --      SHK    []? Ca II H&K line emission indicator
#--------------------------------------------------------------------------------
HD-101904  13778.0360     -2.57355850000   1.5216600 0.1510 
HD-101904  13780.0130     20.25815600000   2.0614100 0.1520 
HD-101904  13781.1160      3.50829340000   1.6090100 0.1500 
HD-101904  13807.0130     -4.41526110000   1.5947800 0.1520 
HD-101904  13837.9180    -26.65197700000   1.5700000 0.1510 
HD-101904  13841.8910      2.72471690000   1.5440400 0.1520 
HD-101904  13926.8560     -1.11846740000   1.7619500 0.1510 
HD-101904  13927.8000      0.20687640000   1.5167600 0.1530 
HD-101904  15663.9640      6.50323960000   1.4051300 0.1520 
HD-102361  13015.1720   7232.24000000000   7.4807600        
HD-102361  13016.1480   7219.00000000000   8.6406300        
HD-102361  13017.1370   7092.80000000000   7.5518800        
HD-102361  13044.0990  -5779.89000000000   5.0825500        
HD-102361  13045.0800  -6294.71000000000   5.0302800        
HD-102361  13045.9680  -6898.77000000000   4.7844800        
HD-102361  13046.0890  -6833.51000000000   4.9393600        
HD-102361  13425.0120   7849.90000000000   7.5546200 0.1940 
HD-102361  13806.9290  -5345.64000000000   5.4187600 0.1920 
HD-102361  14131.0480   3125.06000000000   8.6661400 0.1930 
HD-103417  13777.9750     -3.13380440000   0.7011090 0.1830 
HD-103417  13780.0010      2.58042440000   0.5984230 0.1830 
HD-103417  13781.1010      0.04051225900   0.6236240 0.1820 
HD-103459  13015.1220    574.19829000000   2.1524300        
HD-103459  13016.1400    558.25822000000   1.9991500        
HD-103459  13017.1280    565.32490000000   2.0930500        
HD-103459  13044.1610    557.55934000000   1.5405800        
HD-103459  13046.0290    541.30124000000   1.7114700        
HD-103459  13069.1190    548.10969000000   2.1331700        
HD-103459  13424.9890    285.65721000000   1.0500600 0.1530 
HD-103459  13425.9360    281.09773000000   1.0929600 0.1530 
HD-103459  13426.9820    276.09955000000   1.0025300 0.1520 
HD-103459  13428.0980    274.29525000000   0.9639480 0.1520 
HD-103459  13429.0790    271.83615000000   1.0932800 0.1520 
HD-103459  13429.9480    270.84581000000   0.9832420 0.1500 
HD-103459  13431.1020    267.17563000000   1.0683600 0.1500 
HD-103459  14285.7380    139.48950000000   1.1932500 0.1530 
HD-103459  14547.9720    496.05545000000   1.2818900 0.1550 
HD-103459  14548.9790    492.53632000000   1.3253000 0.1540 
HD-103459  14635.7650    544.04680000000   1.3573600 0.1570 
HD-103459  14839.0990    567.08529000000   1.3667800 0.1550 
HD-103459  14867.9640    551.04792000000   1.4426400 0.1540 
HD-103459  15044.7370    499.42425000000   1.6706000 0.1590 
HD-103459  15172.1670    382.95402000000   1.3780300 0.1520 
HD-103459  15232.0250    319.80778000000   1.2826500 0.1540 
HD-103459  15255.8640    277.93516000000   1.1209000 0.1510 
HD-103459  15668.9590  -2552.50580000000   1.2350900 0.1490 
HD-103459  15672.9030  -2673.50520000000   1.3154200 0.1500 
HD-103459  15903.0760  -1127.99090000000   1.1975400 0.1510 
HD-103459  15973.1030   -468.42886000000   1.5475400 0.1480 
HD-103459  16113.7430    129.01612000000   1.2837600 0.1430 
HD-103459  16326.1560    462.82199000000   1.3019600 0.1510 
HD-103828  13778.0260      2.99069690000   1.2476200 0.1880 
