# From https://iopscience.iop.org/article/10.1088/0004-6256/144/5/139
#
#Title: HAT-P-39b - HAT-P-41b: Three Highly Inflated Transiting Hot Jupiters
#Authors: Hartman J.D., Bakos G.A., Beky B., Torres G., Latham D.W., Csubry Z., 
#         Penev K., Shporer A., Fulton B.J., Buchhave L.A., Johnson J.A., 
#         Howard A.W., Marcy G.W., Fischer D.A., Kovacs G., Noyes R.W., 
#         Esquerdo G.A., Everett M., Szklenar T., Quinn S.N., Bieryla A., 
#         Knox R.P., Hinz P., Sasselov D.D., Furesz G., Stefanik R.P., Lazar J.,
#         Papp I., Sari P. 
#Table: High-precision differential photometry of HAT-P-41
#================================================================================
#Byte-by-byte Description of file: aj445162t8_mrt.txt
#--------------------------------------------------------------------------------
#   Bytes Format Units   Label   Explanations
#--------------------------------------------------------------------------------
#   1- 11 F11.5  d       BJD     Barycentric Julian Date; 2400000+ (1)
#  13- 20 F8.5   mag     mag     Processed magnitude in Filter (2)
#  22- 28 F7.5   mag   e_mag     The 1{sigma} error in mag
#  30- 37 F8.5   mag     Omag    Original magnitude in Filter (3)
#      39 A1     ---     Filter  Filter used in the observation
#--------------------------------------------------------------------------------
#Note (1): Calculated directly from UTC, with- out correction for leap seconds.
#Note (2): The out-of-transit level has been subtracted. These magnitudes have 
#          been subjected to the EPD and TFA procedures, carried out 
#          simultaneously with the transit fit.
#Note (3): Raw magnitude values without application of the EPD and TFA 
#          procedures.
#--------------------------------------------------------------------------------
#FLWO
55344.92878  0.01056 0.00072 10.00950 i 
55344.92946  0.01112 0.00071 10.01030 i 
55344.93013  0.01000 0.00072 10.01050 i 
55344.93079  0.00982 0.00071 10.00830 i 
55344.93143  0.00899 0.00071 10.00880 i 
55344.93211  0.00871 0.00072 10.00900 i 
55344.93281  0.00993 0.00072 10.00950 i 
55344.93349  0.00987 0.00072 10.00920 i 
55344.93415  0.01122 0.00072 10.01070 i 
55344.93483  0.01036 0.00071 10.00920 i 
55344.93553  0.00993 0.00072 10.01020 i 
55344.93620  0.00880 0.00071 10.00850 i 
55344.93687  0.00734 0.00071 10.00780 i 
55344.93753  0.00643 0.00071 10.00700 i 
55344.93820  0.00569 0.00071 10.00600 i 
55344.93888  0.00486 0.00071 10.00430 i 
55344.93954  0.00767 0.00071 10.00740 i 
55344.94027  0.00607 0.00072 10.00480 i 
55344.94095  0.00315 0.00071 10.00210 i 
55344.94164  0.00274 0.00071 10.00280 i 
55344.94232  0.00162 0.00071 10.00160 i 
55344.94298  0.00204 0.00071 10.00190 i 
55344.94367  0.00184 0.00070 10.00080 i 
55344.94433  0.00253 0.00071 10.00230 i 
55344.94502 -0.00017 0.00071 10.00030 i 
55344.94570  0.00072 0.00070 10.00030 i 
55344.94638 -0.00057 0.00070 10.00000 i 
55344.94704  0.00096 0.00071 10.00100 i 
55344.94773  0.00091 0.00071 10.00130 i 
55344.94838  0.00055 0.00071 10.00100 i 
55344.94906  0.00038 0.00071 10.00070 i 
